client,service_name,service_id,date,total_used,resource_type
Amazon,EMR,'est-2024-14-09-dev21-ror','2024-09-14',13000,compute
Microsoft,S3,'est-2024-14-09-dev21-s3','2024-09-14',25000,storage
Google,RDS,'est-2024-14-09-dev21-rds','2024-09-14',18000,compute
Alibaba,Lambda,'est-2024-14-09-dev21-lambda','2024-09-14',5000,compute
Oracle,DynamoDB,'est-2024-14-09-dev21-dynamodb','2024-09-14',8000,storage
IBM,EC2,'est-2024-14-09-dev21-ec2','2024-09-14',22000,compute
Salesforce,CloudFront,'est-2024-14-09-dev21-cloudfront','2024-09-14',15000,network
SAP,Redshift,'est-2024-14-09-dev21-redshift','2024-09-14',30000,compute
Rackspace,Route53,'est-2024-14-09-dev21-route53','2024-09-14',7000,network
Heroku,CloudWatch,'est-2024-14-09-dev21-cloudwatch','2024-09-14',12000,monitoring
Amazon,EMR,'est-2024-01-05-dev21-ror','2024-01-05',13000,compute
Google,RDS,'est-2024-01-19-dev21-rds','2024-01-19',18000,compute
Alibaba,Lambda,'est-2024-02-02-dev21-lambda','2024-02-02',5000,compute
Oracle,DynamoDB,'est-2024-02-15-dev21-dynamodb','2024-02-15',8000,storage
IBM,EC2,'est-2024-03-01-dev21-ec2','2024-03-01',22000,compute
Salesforce,CloudFront,'est-2024-03-10-dev21-cloudfront','2024-03-10',15000,network
SAP,Redshift,'est-2024-03-20-dev21-redshift','2024-03-20',30000,compute
Rackspace,Route53,'est-2024-04-05-dev21-route53','2024-04-05',7000,network
Heroku,CloudWatch,'est-2024-04-15-dev21-cloudwatch','2024-04-15',12000,monitoring
Netflix,EMR,'est-2024-04-22-dev21-ror','2024-04-22',16000,compute
Facebook,S3,'est-2024-05-01-dev21-s3','2024-05-01',24000,storage
Twitter,RDS,'est-2024-05-11-dev21-rds','2024-05-11',19000,compute
LinkedIn,Lambda,'est-2024-05-20-dev21-lambda','2024-05-20',6000,compute
Adobe,DynamoDB,'est-2024-06-02-dev21-dynamodb','2024-06-02',9000,storage
Zoom,EC2,'est-2024-06-15-dev21-ec2','2024-06-15',21000,compute
Slack,CloudFront,'est-2024-06-25-dev21-cloudfront','2024-06-25',14000,network
Spotify,Redshift,'est-2024-07-05-dev21-redshift','2024-07-05',32000,compute
eBay,Route53,'est-2024-07-15-dev21-route53','2024-07-15',8000,network
PayPal,CloudWatch,'est-2024-08-01-dev21-cloudwatch','2024-08-01',13000,monitoring
Shopify,EMR,'est-2024-08-10-dev21-ror','2024-08-10',17000,compute
Square,S3,'est-2024-08-20-dev21-s3','2024-08-20',26000,storage
Pinterest,RDS,'est-2024-09-01-dev21-rds','2024-09-01',20000,compute
Uber,Lambda,'est-2024-09-10-dev21-lambda','2024-09-10',7000,compute
Lyft,DynamoDB,'est-2024-09-20-dev21-dynamodb','2024-09-20',8500,storage
Airbnb,EC2,'est-2024-10-01-dev21-ec2','2024-10-01',23000,compute
Dropbox,CloudFront,'est-2024-10-10-dev21-cloudfront','2024-10-10',16000,network
Trello,Redshift,'est-2024-10-20-dev21-redshift','2024-10-20',31000,compute
Yelp,Route53,'est-2024-11-01-dev21-route53','2024-11-01',7500,network
Snapchat,CloudWatch,'est-2024-11-10-dev21-cloudwatch','2024-11-10',11000,monitoring
Reddit,EMR,'est-2024-11-15-dev21-ror','2024-11-15',15000,compute
Twitch,S3,'est-2024-12-01-dev21-s3','2024-12-01',28000,storage
Salesforce,RDS,'est-2024-12-10-dev21-rds','2024-12-10',22000,compute
Oracle,Lambda,'est-2024-12-15-dev21-lambda','2024-12-15',9000,compute
IBM,DynamoDB,'est-2024-12-20-dev21-dynamodb','2024-12-20',10000,storage
Cisco,EC2,'est-2024-12-25-dev21-ec2','2024-12-25',24000,compute
Nvidia,CloudFront,'est-2024-12-30-dev21-cloudfront','2024-12-30',18000,network
Intel,Redshift,'est-2024-11-05-dev21-redshift','2024-11-05',34000,compute
Dell,Route53,'est-2024-11-15-dev21-route53','2024-11-15',9000,network
HP,CloudWatch,'est-2024-11-25-dev21-cloudwatch','2024-11-25',12500,monitoring
Lenovo,EMR,'est-2024-10-05-dev21-ror','2024-10-05',15500,compute
Samsung,S3,'est-2024-10-15-dev21-s3','2024-10-15',27000,storage
Sony,RDS,'est-2024-10-25-dev21-rds','2024-10-25',21000,compute
LG,Lambda,'est-2024-09-30-dev21-lambda','2024-09-30',8000,compute
Panasonic,DynamoDB,'est-2024-09-05-dev21-dynamodb','2024-09-05',9500,storage
Toshiba,EC2,'est-2024-08-30-dev21-ec2','2024-08-30',20000,compute
Fujitsu,CloudFront,'est-2024-08-25-dev21-cloudfront','2024-08-25',17000,network
Xerox,Redshift,'est-2024-07-30-dev21-redshift','2024-07-30',33000,compute
Siemens,Route53,'est-2024-07-25-dev21-route53','2024-07-25',8500,network
Ericsson,CloudWatch,'est-2024-07-20-dev21-cloudwatch','2024-07-20',11500,monitoring
Qualcomm,EMR,'est-2024-06-30-dev21-ror','2024-06-30',14500,compute
Texas Instruments,S3,'est-2024-06-20-dev21-s3','2024-06-20',26000,storage
Broadcom,RDS,'est-2024-06-10-dev21-rds','2024-06-10',20500,compute
Micron,Lambda,'est-2024-05-30-dev21-lambda','2024-05-30',7500,compute
Nokia,DynamoDB,'est-2024-05-25-dev21-dynamodb','2024-05-25',9000,storage
Motorola,EC2,'est-2024-05-15-dev21-ec2','2024-05-15',22500,compute
Honeywell,CloudFront,'est-2024-04-30-dev21-cloudfront','2024-04-30',15500,network
Boeing,Redshift,'est-2024-04-20-dev21-redshift','2024-04-20',31000,compute
Lockheed Martin,Route53,'est-2024-04-10-dev21-route53','2024-04-10',9500,network
Northrop Grumman,CloudWatch,'est-2024-03-30-dev21-cloudwatch','2024-03-30',12000,monitoring
General Dynamics,EMR,'est-2024-03-15-dev21-ror','2024-03-15',13500,compute
Raytheon,S3,'est-2024-02-28-dev21-s3','2024-02-28',24500,storage
L3Harris,RDS,'est-2024-02-20-dev21-rds','2024-02-20',19500,compute
Amazon,EMR,'est-2024-01-01-dev21-ror','2024-01-01',13000,compute
Microsoft,S3,'est-2024-01-02-dev21-s3','2024-01-02',25000,storage
Google,RDS,'est-2024-01-03-dev21-rds','2024-01-03',18000,compute
Alibaba,Lambda,'est-2024-01-04-dev21-lambda','2024-01-04',5000,compute
Oracle,DynamoDB,'est-2024-01-05-dev21-dynamodb','2024-01-05',8000,storage
IBM,EC2,'est-2024-01-06-dev21-ec2','2024-01-06',22000,compute
Salesforce,CloudFront,'est-2024-01-07-dev21-cloudfront','2024-01-07',15000,network
SAP,Redshift,'est-2024-01-08-dev21-redshift','2024-01-08',30000,compute
Rackspace,Route53,'est-2024-01-09-dev21-route53','2024-01-09',7000,network
Heroku,CloudWatch,'est-2024-01-10-dev21-cloudwatch','2024-01-10',12000,monitoring
Netflix,EMR,'est-2024-01-11-dev21-ror','2024-01-11',16000,compute
Facebook,S3,'est-2024-01-12-dev21-s3','2024-01-12',24000,storage
Twitter,RDS,'est-2024-01-13-dev21-rds','2024-01-13',19000,compute
LinkedIn,Lambda,'est-2024-01-14-dev21-lambda','2024-01-14',6000,compute
Adobe,DynamoDB,'est-2024-01-15-dev21-dynamodb','2024-01-15',9000,storage
Zoom,EC2,'est-2024-01-16-dev21-ec2','2024-01-16',21000,compute
Slack,CloudFront,'est-2024-01-17-dev21-cloudfront','2024-01-17',14000,network
Spotify,Redshift,'est-2024-01-18-dev21-redshift','2024-01-18',32000,compute
eBay,Route53,'est-2024-01-19-dev21-route53','2024-01-19',8000,network
PayPal,CloudWatch,'est-2024-01-20-dev21-cloudwatch','2024-01-20',13000,monitoring
Shopify,EMR,'est-2024-01-21-dev21-ror','2024-01-21',17000,compute
Square,S3,'est-2024-01-22-dev21-s3','2024-01-22',26000,storage
Pinterest,RDS,'est-2024-01-23-dev21-rds','2024-01-23',20000,compute
Uber,Lambda,'est-2024-01-24-dev21-lambda','2024-01-24',7000,compute
Lyft,DynamoDB,'est-2024-01-25-dev21-dynamodb','2024-01-25',8500,storage
Airbnb,EC2,'est-2024-01-26-dev21-ec2','2024-01-26',23000,compute
Dropbox,CloudFront,'est-2024-01-27-dev21-cloudfront','2024-01-27',16000,network
Trello,Redshift,'est-2024-01-28-dev21-redshift','2024-01-28',31000,compute
Yelp,Route53,'est-2024-01-29-dev21-route53','2024-01-29',7500,network
Snapchat,CloudWatch,'est-2024-01-30-dev21-cloudwatch','2024-01-30',11000,monitoring
Reddit,EMR,'est-2024-01-31-dev21-ror','2024-01-31',15000,compute
Twitch,S3,'est-2024-02-01-dev21-s3','2024-02-01',28000,storage
Salesforce,RDS,'est-2024-02-02-dev21-rds','2024-02-02',22000,compute
Oracle,Lambda,'est-2024-02-03-dev21-lambda','2024-02-03',9000,compute
IBM,DynamoDB,'est-2024-02-04-dev21-dynamodb','2024-02-04',10000,storage
Cisco,EC2,'est-2024-02-05-dev21-ec2','2024-02-05',24000,compute
Nvidia,CloudFront,'est-2024-02-06-dev21-cloudfront','2024-02-06',18000,network
Intel,Redshift,'est-2024-02-07-dev21-redshift','2024-02-07',34000,compute
Dell,Route53,'est-2024-02-08-dev21-route53','2024-02-08',9000,network
HP,CloudWatch,'est-2024-02-09-dev21-cloudwatch','2024-02-09',12500,monitoring
Lenovo,EMR,'est-2024-02-10-dev21-ror','2024-02-10',15500,compute
Samsung,S3,'est-2024-02-11-dev21-s3','2024-02-11',27000,storage
Sony,RDS,'est-2024-02-12-dev21-rds','2024-02-12',21000,compute
LG,Lambda,'est-2024-02-13-dev21-lambda','2024-02-13',8000,compute
Panasonic,DynamoDB,'est-2024-02-14-dev21-dynamodb','2024-02-14',9500,storage
Toshiba,EC2,'est-2024-02-15-dev21-ec2','2024-02-15',20000,compute
Fujitsu,CloudFront,'est-2024-02-16-dev21-cloudfront','2024-02-16',17000,network
Xerox,Redshift,'est-2024-02-17-dev21-redshift','2024-02-17',33000,compute
Siemens,Route53,'est-2024-02-18-dev21-route53','2024-02-18',8500,network
Ericsson,CloudWatch,'est-2024-02-19-dev21-cloudwatch','2024-02-19',11500,monitoring
Qualcomm,EMR,'est-2024-02-20-dev21-ror','2024-02-20',14500,compute
Texas Instruments,S3,'est-2024-02-21-dev21-s3','2024-02-21',26000,storage
Broadcom,RDS,'est-2024-02-22-dev21-rds','2024-02-22',20500,compute
Micron,Lambda,'est-2024-02-23-dev21-lambda','2024-02-23',7500,compute
Nokia,DynamoDB,'est-2024-02-24-dev21-dynamodb','2024-02-24',9000,storage
Motorola,EC2,'est-2024-02-25-dev21-ec2','2024-02-25',22500,compute
Honeywell,CloudFront,'est-2024-02-26-dev21-cloudfront','2024-02-26',15500,network
Boeing,Redshift,'est-2024-02-27-dev21-redshift','2024-02-27',31000,compute
Lockheed Martin,Route53,'est-2024-02-28-dev21-route53','2024-02-28',9500,network
Northrop Grumman,CloudWatch,'est-2024-02-29-dev21-cloudwatch','2024-02-29',12000,monitoring
General Dynamics,EMR,'est-2024-03-01-dev21-ror','2024-03-01',13500,compute
Raytheon,S3,'est-2024-03-02-dev21-s3','2024-03-02',24500,storage
L3Harris,RDS,'est-2024-03-03-dev21-rds','2024-03-03',19500,compute
